graph,algo,num_nodes,num_edges,density,avg_degree,max_degree,clustering_coef,is_directed,num_components,is_connected,has_cycle,time
g3233.json,bfs,45,200,0.202,8.88888888888889,25,0.3563615405415556,False,1,True,True,1.4e-05
g793.json,greedy_coloring,18,19,0.124,2.111111111111111,5,0.16666666666666666,False,2,False,True,1.6e-05
g6031.json,bfs,21,32,0.152,3.0476190476190474,4,0.0,False,1,True,True,9e-06
g269.json,bfs,19,30,0.175,3.1578947368421053,6,0.11403508771929824,False,1,True,True,7e-06
g3663.json,bfs,17,52,0.382,6.117647058823529,10,0.4389822595704948,False,1,True,True,5e-06
g2971.json,bfs,42,117,0.136,5.571428571428571,16,0.26818393246964684,False,1,True,True,1.3e-05
g9794.json,bfs,15,14,0.133,1.8666666666666667,3,0.0,False,1,True,False,5e-06
g8886.json,bfs,15,14,0.133,1.8666666666666667,3,0.0,False,1,True,False,5e-06
g6461.json,bfs,35,58,0.097,3.3142857142857145,4,0.0,False,1,True,True,1.2e-05
g639.json,bfs,41,122,0.149,5.951219512195122,12,0.12878259951430687,False,1,True,True,1.5e-05
g3399.json,bfs,32,112,0.226,7.0,20,0.41287321048834197,False,1,True,True,9e-06
g2422.json,bfs,12,20,0.303,3.3333333333333335,8,0.49265873015873013,False,1,True,True,4e-06
g7620.json,bfs,21,32,0.152,3.0476190476190474,4,0.0,False,1,True,True,8e-06
g6932.json,bfs,49,84,0.071,3.4285714285714284,4,0.0,False,1,True,True,1.6e-05
g2072.json,bfs,24,23,0.083,1.9166666666666667,11,0.0,False,1,True,False,8e-06
g6898.json,bfs,15,22,0.21,2.933333333333333,4,0.0,False,1,True,True,6e-06
g8185.json,bfs,5461,5460,0.0,1.999633766709394,5,0.0,False,1,True,False,0.00777
g7270.json,bfs,15,22,0.21,2.933333333333333,4,0.0,False,1,True,True,7e-06
g2588.json,bfs,42,117,0.136,5.571428571428571,19,0.22961396025305797,False,1,True,True,1.4e-05
g9147.json,bfs,5461,5460,0.0,1.999633766709394,5,0.0,False,1,True,False,0.001482
g1577.json,bfs,26,71,0.218,5.461538461538462,8,0.19990842490842498,False,1,True,True,1e-05
g5867.json,bfs,19,38,0.222,4.0,6,0.2298245614035087,False,1,True,True,8e-06
g510.json,bfs,24,82,0.297,6.833333333333333,10,0.298478835978836,False,1,True,True,9e-06
g6748.json,bfs,64,112,0.056,3.5,4,0.0,False,1,True,True,2e-05
g4775.json,bfs,49,49,0.042,2.0,4,0.0,False,1,True,True,1.6e-05
g9517.json,bfs,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,2.8e-05
g1127.json,bfs,47,95,0.088,4.042553191489362,9,0.055775075987841934,False,1,True,True,1.5e-05
g140.json,bfs,37,120,0.18,6.486486486486487,10,0.13734448734448737,False,1,True,True,1.2e-05
g6318.json,bfs,56,97,0.063,3.4642857142857144,4,0.0,False,1,True,True,1.8e-05
g4325.json,bfs,10,10,0.222,2.0,3,0.0,False,1,True,True,4e-06
g9844.json,bfs,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,2.8e-05
g8756.json,bfs,40,39,0.05,1.95,4,0.0,False,1,True,False,1e-05
g16.json,bfs,22,65,0.281,5.909090909090909,10,0.2742784992784993,False,1,True,True,8e-06
g5164.json,bfs,43,86,0.095,4.0,6,0.20310077519379846,False,1,True,True,1.4e-05
g7159.json,bfs,64,112,0.056,3.5,4,0.0,False,1,True,True,2e-05
g8306.json,bfs,40,39,0.05,1.95,4,0.0,False,1,True,False,1e-05
g3819.json,bfs,24,23,0.083,1.9166666666666667,7,0.0,False,1,True,False,8e-06
g1824.json,bfs,25,48,0.16,3.84,7,0.2142857142857143,False,1,True,True,8e-06
g5534.json,bfs,25,25,0.083,2.0,3,0.09333333333333332,False,1,True,True,8e-06
g7509.json,bfs,12,17,0.258,2.8333333333333335,4,0.0,False,1,True,True,5e-06
g843.json,bfs,27,77,0.219,5.703703703703703,8,0.21640211640211643,False,1,True,True,1e-05
g5021.json,greedy_coloring,40,40,0.051,2.0,4,0.0,False,2,False,True,3.7e-05
g9901.json,bfs,1093,1092,0.002,1.9981701738334858,4,0.0,False,1,True,False,0.000273
g8613.json,bfs,40,39,0.05,1.95,4,0.0,False,1,True,False,1e-05
g5471.json,bfs,39,78,0.105,4.0,6,0.2512820512820513,False,1,True,True,1.3e-05
g906.json,bfs,44,97,0.103,4.409090909090909,8,0.06785714285714285,False,1,True,True,1.5e-05
g8243.json,bfs,341,340,0.006,1.9941348973607038,5,0.0,False,1,True,False,6.5e-05
g1961.json,bfs,22,47,0.203,4.2727272727272725,8,0.19448051948051948,False,1,True,True,9e-06
g5922.json,greedy_coloring,41,41,0.05,2.0,4,0.0,False,3,False,True,3.5e-05
g4630.json,bfs,38,76,0.108,4.0,7,0.22631578947368425,False,1,True,True,1.3e-05
g455.json,bfs,19,35,0.205,3.6842105263157894,7,0.21228070175438596,False,1,True,True,7e-06
g9002.json,bfs,40,39,0.05,1.95,4,0.0,False,1,True,False,1.1e-05
g1432.json,bfs,45,248,0.251,11.022222222222222,14,0.22411058077724738,False,1,True,True,1.5e-05
g1598.json,bfs,44,173,0.183,7.863636363636363,13,0.16712290235017513,False,1,True,True,1.4e-05
g4260.json,bfs,34,68,0.121,4.0,7,0.2935574229691877,False,1,True,True,1.2e-05
g9452.json,bfs,364,363,0.005,1.9945054945054945,4,0.0,False,1,True,False,7.1e-05
g5888.json,bfs,20,20,0.105,2.0,3,0.0,False,1,True,True,9e-06
g1062.json,bfs,17,33,0.243,3.8823529411764706,8,0.3175070028011205,False,1,True,True,7e-06
g9645.json,bfs,1093,1092,0.002,1.9981701738334858,4,0.0,False,1,True,False,0.000266
g8957.json,bfs,31,30,0.065,1.935483870967742,3,0.0,False,1,True,False,9e-06
g1275.json,bfs,49,345,0.293,14.081632653061224,23,0.30566293522105137,False,1,True,True,1.6e-05
g3248.json,bfs,32,31,0.062,1.9375,12,0.0,False,1,True,False,1e-05
g4077.json,bfs,21,42,0.2,4.0,6,0.31746031746031744,False,1,True,True,7e-06
g212.json,bfs,19,28,0.164,2.9473684210526314,5,0.0543859649122807,False,1,True,True,7e-06
g9215.json,bfs,31,30,0.065,1.935483870967742,3,0.0,False,1,True,False,9e-06
g1625.json,bfs,21,62,0.295,5.904761904761905,9,0.2545351473922903,False,1,True,True,7e-06
g3618.json,bfs,37,132,0.198,7.135135135135135,22,0.3319864069864069,False,1,True,True,1e-05
g4427.json,bfs,25,50,0.167,4.0,5,0.4386666666666666,False,1,True,True,9e-06
g642.json,bfs,45,140,0.141,6.222222222222222,10,0.15523809523809523,False,1,True,True,1.4e-05
g8054.json,bfs,1093,1092,0.002,1.9981701738334858,4,0.0,False,1,True,False,0.000266
g2459.json,bfs,32,87,0.175,5.4375,18,0.2932112107663579,False,1,True,True,1.1e-05
g5666.json,bfs,44,44,0.047,2.0,3,0.0,False,1,True,True,1.5e-05
g4974.json,bfs,50,150,0.122,6.0,8,0.3543333333333332,False,1,True,True,1.7e-05
g6949.json,bfs,48,82,0.073,3.4166666666666665,4,0.0,False,1,True,True,1.6e-05
g8404.json,bfs,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,2.8e-05
g2009.json,bfs,29,120,0.296,8.275862068965518,18,0.4445421380512659,False,1,True,True,8e-06
g5236.json,bfs,30,60,0.138,4.0,5,0.4355555555555554,False,1,True,True,1e-05
g5723.json,bfs,40,80,0.103,4.0,5,0.43916666666666676,False,1,True,True,1.2e-05
g4831.json,bfs,11,22,0.4,4.0,5,0.30000000000000004,False,1,True,True,4e-06
g8111.json,bfs,85,84,0.024,1.9764705882352942,5,0.0,False,1,True,False,1.8e-05
g5373.json,bfs,26,52,0.16,4.0,5,0.38461538461538464,False,1,True,True,9e-06
g8541.json,bfs,31,30,0.065,1.935483870967742,3,0.0,False,1,True,False,8e-06
g5689.json,bfs,15,30,0.286,4.0,6,0.28,False,1,True,True,6e-06
g357.json,bfs,24,48,0.174,4.0,10,0.17500000000000002,False,1,True,True,9e-06
